video_id,title,duration_sec,hashtags_count,views,likes,comments,shares,upload_hour,category
vid_1000,Short Video #0,43,8,494248,67872,8073,1156,13,Travel
vid_1001,Short Video #1,56,2,160219,13985,2552,1168,6,Travel
vid_1002,Short Video #2,33,4,52067,6984,530,223,13,Comedy
vid_1003,Short Video #3,19,8,480982,44783,8809,2437,5,Food
vid_1004,Short Video #4,47,2,77420,6978,1127,186,11,Comedy
vid_1005,Short Video #5,12,6,119693,6323,2127,854,15,Lifestyle
vid_1006,Short Video #6,25,0,173469,20734,1806,1346,16,Comedy
vid_1007,Short Video #7,43,3,39231,5129,281,103,12,Lifestyle
vid_1008,Short Video #8,23,3,60090,6991,600,84,22,Lifestyle
vid_1009,Short Video #9,27,6,265374,17285,3139,458,13,Lifestyle
vid_1010,Short Video #10,15,7,86258,5203,1121,596,6,Education
vid_1011,Short Video #11,15,0,179728,19282,2275,398,13,Comedy
vid_1012,Short Video #12,28,4,75200,6779,991,409,14,Education
vid_1013,Short Video #13,57,6,93242,8663,1643,221,11,Food
vid_1014,Short Video #14,40,3,288126,42291,2175,729,16,Comedy
vid_1015,Short Video #15,44,3,128348,15708,1250,133,8,Food
vid_1016,Short Video #16,28,3,80265,7318,1471,312,21,Food
vid_1017,Short Video #17,7,5,65511,3400,878,118,14,Lifestyle
vid_1018,Short Video #18,26,6,69208,3696,951,314,11,Comedy
vid_1019,Short Video #19,57,1,207925,24635,2530,1326,1,Food
vid_1020,Short Video #20,6,4,156263,20903,2068,673,4,Travel
vid_1021,Short Video #21,28,3,49552,5984,394,363,12,Food
vid_1022,Short Video #22,48,2,104016,9422,1373,798,19,Travel
vid_1023,Short Video #23,34,6,94836,5037,1892,689,22,Comedy
vid_1024,Short Video #24,42,5,119330,17510,1609,1125,7,Education
vid_1025,Short Video #25,6,6,68724,10214,389,215,13,Comedy
vid_1026,Short Video #26,25,4,190743,20015,3232,515,14,Education
vid_1027,Short Video #27,37,5,98636,5628,1079,639,10,Education
vid_1028,Short Video #28,16,4,123508,12856,902,784,0,Comedy
vid_1029,Short Video #29,26,6,61647,8583,1105,344,20,Food
vid_1030,Short Video #30,48,1,63539,7497,506,66,2,Tech
vid_1031,Short Video #31,29,4,486263,59323,9147,2916,16,Food
vid_1032,Short Video #32,53,5,290700,17005,3379,2731,18,Food
vid_1033,Short Video #33,31,5,94673,5742,1528,379,13,Lifestyle
vid_1034,Short Video #34,46,4,247657,15536,3270,2404,21,Lifestyle
vid_1035,Short Video #35,32,9,204360,28699,1808,860,22,Food
vid_1036,Short Video #36,20,6,67837,6959,1022,153,7,Travel
vid_1037,Short Video #37,19,9,63897,8252,1237,293,12,Education
vid_1038,Short Video #38,51,7,147444,9072,2439,803,19,Lifestyle
vid_1039,Short Video #39,55,6,115385,16472,1622,769,2,Food
vid_1040,Short Video #40,48,4,77559,10246,1540,429,4,Tech
vid_1041,Short Video #41,59,0,152167,11028,1366,887,8,Travel
vid_1042,Short Video #42,56,4,41544,5708,246,50,5,Comedy
vid_1043,Short Video #43,7,9,105767,8074,579,347,21,Food
vid_1044,Short Video #44,41,1,46940,3310,735,178,1,Food
vid_1045,Short Video #45,55,4,47877,3658,835,473,12,Education
vid_1046,Short Video #46,11,4,64598,9108,938,236,4,Travel
vid_1047,Short Video #47,25,1,122758,17377,2280,1113,7,Lifestyle
vid_1048,Short Video #48,13,4,65831,5457,1018,246,22,Lifestyle
vid_1049,Short Video #49,43,3,47530,5729,502,88,0,Lifestyle
vid_1050,Short Video #50,22,0,131445,15454,1014,424,19,Comedy
vid_1051,Short Video #51,8,2,241747,31585,4561,835,11,Travel
vid_1052,Short Video #52,29,0,144829,11535,949,1419,22,Travel
vid_1053,Short Video #53,18,4,291000,29395,3825,2056,10,Lifestyle
vid_1054,Short Video #54,54,3,229924,26847,2232,2157,6,Lifestyle
vid_1055,Short Video #55,13,6,73684,3877,668,627,14,Education
vid_1056,Short Video #56,30,4,144248,12646,2118,895,21,Tech
vid_1057,Short Video #57,57,9,93435,11173,791,661,23,Tech
vid_1058,Short Video #58,6,3,186700,14050,3499,1236,10,Food
vid_1059,Short Video #59,24,1,93424,13618,1036,653,21,Food
vid_1060,Short Video #60,32,3,61499,3260,932,208,15,Travel
vid_1061,Short Video #61,51,1,225042,32813,3581,1051,2,Travel
vid_1062,Short Video #62,11,7,119452,8561,1820,756,19,Comedy
vid_1063,Short Video #63,48,2,66295,3638,1229,87,13,Comedy
vid_1064,Short Video #64,12,8,73186,5799,619,391,2,Tech
vid_1065,Short Video #65,51,3,66042,8494,415,577,0,Food
vid_1066,Short Video #66,39,5,54119,6778,315,293,20,Tech
vid_1067,Short Video #67,18,9,74123,5254,1346,442,14,Tech
vid_1068,Short Video #68,21,4,123477,8603,2420,347,0,Food
vid_1069,Short Video #69,40,9,102583,11720,978,835,16,Comedy
vid_1070,Short Video #70,54,0,75892,7271,1168,321,1,Education
vid_1071,Short Video #71,44,8,242148,31292,1243,2326,19,Education
vid_1072,Short Video #72,8,0,29543,1548,231,293,5,Education
vid_1073,Short Video #73,6,7,118620,13171,1819,1096,7,Food
vid_1074,Short Video #74,10,8,90612,11151,542,159,15,Lifestyle
vid_1075,Short Video #75,58,8,55154,8236,663,220,18,Lifestyle
vid_1076,Short Video #76,46,0,122844,14480,1835,1167,0,Lifestyle
vid_1077,Short Video #77,8,1,86521,6331,1426,713,2,Travel
vid_1078,Short Video #78,58,0,208614,12687,2463,1919,2,Comedy
vid_1079,Short Video #79,33,9,166182,18959,2402,1022,4,Comedy
vid_1080,Short Video #80,22,1,309798,31698,4056,1649,11,Travel
vid_1081,Short Video #81,30,9,73866,10334,427,144,11,Tech
vid_1082,Short Video #82,48,7,228189,27989,3683,1952,19,Education
vid_1083,Short Video #83,38,4,49044,4952,372,377,12,Lifestyle
vid_1084,Short Video #84,14,6,92375,8346,505,141,19,Education
vid_1085,Short Video #85,40,1,74671,6753,878,215,8,Lifestyle
vid_1086,Short Video #86,18,7,141699,10291,2548,852,6,Education
vid_1087,Short Video #87,35,5,139659,7224,1014,999,3,Tech
vid_1088,Short Video #88,52,7,57505,6181,298,128,18,Education
vid_1089,Short Video #89,19,0,146519,10438,974,469,21,Education
vid_1090,Short Video #90,12,0,78566,5565,821,215,18,Food
vid_1091,Short Video #91,18,6,60471,3781,828,180,5,Education
vid_1092,Short Video #92,27,7,98020,6759,773,910,12,Food
vid_1093,Short Video #93,44,2,40696,2164,693,302,10,Comedy
vid_1094,Short Video #94,25,4,172608,20268,2813,1317,12,Travel
vid_1095,Short Video #95,20,0,95475,8606,1473,777,12,Education
vid_1096,Short Video #96,49,6,96737,10268,1191,407,21,Comedy
vid_1097,Short Video #97,22,4,93685,10651,981,740,19,Food
vid_1098,Short Video #98,51,7,265165,39045,2819,2600,14,Education
vid_1099,Short Video #99,57,7,245567,13954,3080,1789,20,Education
vid_1100,Short Video #100,28,8,222005,20378,1367,1054,12,Tech
vid_1101,Short Video #101,30,6,93805,6996,1429,698,21,Comedy
vid_1102,Short Video #102,29,0,50545,4936,519,460,10,Lifestyle
vid_1103,Short Video #103,49,2,97773,13888,818,211,18,Lifestyle
vid_1104,Short Video #104,45,7,119209,14590,1093,403,7,Tech
vid_1105,Short Video #105,33,2,160743,18677,1238,1490,19,Food
vid_1106,Short Video #106,19,7,118979,11198,2203,1132,7,Lifestyle
vid_1107,Short Video #107,49,0,53321,6244,401,285,9,Lifestyle
vid_1108,Short Video #108,5,4,71592,3811,1306,312,15,Travel
vid_1109,Short Video #109,29,3,67800,7364,920,240,18,Comedy
vid_1110,Short Video #110,11,4,136411,14374,2457,748,22,Food
vid_1111,Short Video #111,13,7,138435,11720,1676,1302,10,Education
vid_1112,Short Video #112,28,9,149758,10505,2832,351,12,Comedy
vid_1113,Short Video #113,5,3,118257,15462,966,565,8,Food
vid_1114,Short Video #114,48,3,28695,1589,382,264,19,Lifestyle
vid_1115,Short Video #115,12,2,35048,1996,241,145,23,Travel
vid_1116,Short Video #116,28,6,90752,8535,1062,718,18,Comedy
vid_1117,Short Video #117,15,2,104699,7879,1418,471,15,Lifestyle
vid_1118,Short Video #118,55,2,209441,26084,2950,1726,6,Food
vid_1119,Short Video #119,21,9,103432,11731,1084,1016,18,Comedy
vid_1120,Short Video #120,12,4,54963,6994,337,246,11,Education
vid_1121,Short Video #121,39,4,146869,12111,2178,1263,14,Comedy
vid_1122,Short Video #122,39,5,97699,12119,1204,966,22,Lifestyle
vid_1123,Short Video #123,37,7,77556,10565,547,764,13,Comedy
vid_1124,Short Video #124,9,9,37467,3166,713,183,10,Education
vid_1125,Short Video #125,46,5,103892,8725,2008,558,9,Travel
vid_1126,Short Video #126,43,0,113242,15853,2021,422,10,Travel
vid_1127,Short Video #127,45,7,54301,2985,958,207,5,Lifestyle
vid_1128,Short Video #128,32,7,154293,13117,999,838,1,Food
vid_1129,Short Video #129,11,8,146221,9046,2909,410,10,Lifestyle
vid_1130,Short Video #130,13,8,101655,5377,1118,752,18,Travel
vid_1131,Short Video #131,12,1,99412,6092,740,579,5,Tech
vid_1132,Short Video #132,16,1,174141,16216,2992,1581,13,Tech
vid_1133,Short Video #133,38,2,123071,14607,1032,1020,19,Comedy
vid_1134,Short Video #134,37,0,64773,5112,835,252,5,Education
vid_1135,Short Video #135,52,3,87676,11833,606,486,16,Comedy
vid_1136,Short Video #136,59,3,137875,12927,1671,1069,9,Tech
vid_1137,Short Video #137,27,8,29161,4281,389,79,0,Travel
vid_1138,Short Video #138,28,8,56448,8208,659,72,2,Comedy
vid_1139,Short Video #139,41,8,148640,18925,898,1288,7,Lifestyle
